transactionId,transactionType,amount,transactionTime,sourceAccountId,destinationAccountId
TXN-BULK-0044-0,TRANSFER,4939.2,2026-04-16T12:12:00,ACC1005,ACC2425
TXN-BULK-0044-1,TRANSFER,4709.75,2026-04-16T12:12:10,ACC1005,ACC1018
TXN-BULK-0044-2,TRANSFER,1111.94,2026-04-16T12:12:20,ACC1005,ACC1772
TXN-BULK-0045,DEPOSIT,833382.48,2026-04-17T02:50:00,,ACC1703
TXN-BULK-0046,TRANSFER,6251.65,2026-04-16T12:19:00,ACC1787,ACC1833
TXN-BULK-0047,DEPOSIT,4599.79,2026-04-16T12:20:00,,ACC1590
TXN-BULK-0048,WITHDRAWAL,13267.73,2026-04-17T02:09:00,ACC2045,
TXN-BULK-0049-0,TRANSFER,2814.84,2026-04-16T12:29:00,ACC1005,ACC1515
TXN-BULK-0049-1,TRANSFER,2661.9,2026-04-16T12:29:10,ACC1005,ACC1318
TXN-BULK-0049-2,TRANSFER,4883.9,2026-04-16T12:29:20,ACC1005,ACC1407
TXN-BULK-0050-0,TRANSFER,3188.57,2026-04-16T12:32:00,ACC1005,ACC2394
TXN-BULK-0050-1,TRANSFER,4205.17,2026-04-16T12:32:10,ACC1005,ACC2136
TXN-BULK-0050-2,TRANSFER,1480.97,2026-04-16T12:32:20,ACC1005,ACC2469
TXN-BULK-0051-0,TRANSFER,4381.1,2026-04-16T12:33:00,ACC1005,ACC1146
TXN-BULK-0051-1,TRANSFER,3011.65,2026-04-16T12:33:10,ACC1005,ACC1830
TXN-BULK-0051-2,TRANSFER,4195.14,2026-04-16T12:33:20,ACC1005,ACC2084
TXN-BULK-0052,WITHDRAWAL,12478.35,2026-04-16T12:38:00,ACC2043,
TXN-BULK-0053,WITHDRAWAL,7646.62,2026-04-16T12:43:00,ACC1182,
TXN-BULK-0054,DEPOSIT,686047.78,2026-04-17T00:19:00,,ACC1310
TXN-BULK-0055,TRANSFER,8024.95,2026-04-16T12:47:00,ACC1938,ACC2647
TXN-BULK-0056,WITHDRAWAL,9319.66,2026-04-16T12:51:00,ACC2201,
TXN-BULK-0057,WITHDRAWAL,8481.14,2026-04-16T12:54:00,ACC1002,
TXN-BULK-0058,WITHDRAWAL,61350.91,2026-04-17T03:17:00,ACC2110,
TXN-BULK-0059,DEPOSIT,28292.17,2026-04-16T12:58:00,,ACC1017
TXN-BULK-0060,DEPOSIT,14733.41,2026-04-16T13:02:00,,ACC1693
TXN-BULK-0061,DEPOSIT,925876.89,2026-04-17T00:40:00,,ACC1772
TXN-BULK-0062,WITHDRAWAL,6725.31,2026-04-16T13:05:00,ACC1786,
TXN-BULK-0063,TRANSFER,12296.38,2026-04-16T13:06:00,ACC2275,ACC1026
TXN-BULK-0064,TRANSFER,8581.84,2026-04-16T13:07:00,ACC1252,ACC2037
TXN-BULK-0065,DEPOSIT,989459.28,2026-04-17T00:53:00,,ACC1452
TXN-BULK-0066,TRANSFER,135730.87,2026-04-17T04:42:00,ACC1350,ACC2562
TXN-BULK-0067,TRANSFER,953.66,2026-04-16T13:13:00,ACC2034,ACC1066
TXN-BULK-0068,WITHDRAWAL,9152.45,2026-04-16T13:17:00,ACC1884,
TXN-BULK-0069,DEPOSIT,2653.36,2026-04-16T13:21:00,,ACC1924
TXN-BULK-0070,WITHDRAWAL,100514.83,2026-04-17T01:24:00,ACC2186,
TXN-BULK-0071,DEPOSIT,10791.51,2026-04-16T13:26:00,,ACC1489
TXN-BULK-0072,WITHDRAWAL,6426.44,2026-04-16T13:29:00,ACC2324,
TXN-BULK-0073,TRANSFER,2739.53,2026-04-16T13:34:00,ACC1135,ACC2576
TXN-BULK-0074,TRANSFER,108401.03,2026-04-17T01:30:00,ACC1909,ACC1297
TXN-BULK-0075,TRANSFER,857189.28,2026-04-17T02:00:00,ACC2316,ACC1734
TXN-BULK-0076,TRANSFER,135066.37,2026-04-17T03:06:00,ACC2260,ACC1353
TXN-BULK-0077,DEPOSIT,42242.16,2026-04-16T13:49:00,,ACC1017
TXN-BULK-0078,TRANSFER,10501.42,2026-04-16T13:53:00,ACC1336,ACC1359
TXN-BULK-0079,DEPOSIT,14833.32,2026-04-17T02:23:00,,ACC2297
TXN-BULK-0080-0,TRANSFER,3122.64,2026-04-16T13:59:00,ACC1005,ACC2626
TXN-BULK-0080-1,TRANSFER,3999.22,2026-04-16T13:59:10,ACC1005,ACC2382
TXN-BULK-0080-2,TRANSFER,1605.02,2026-04-16T13:59:20,ACC1005,ACC2120
TXN-BULK-0081,WITHDRAWAL,13946.16,2026-04-17T02:46:00,ACC2232,
TXN-BULK-0082,WITHDRAWAL,1192.67,2026-04-16T14:07:00,ACC1625,
TXN-BULK-0083,TRANSFER,1544.37,2026-04-16T14:09:00,ACC1379,ACC1423
TXN-BULK-0084,TRANSFER,64187.3,2026-04-17T01:52:00,ACC1541,ACC2340
TXN-BULK-0085-0,TRANSFER,3911.3,2026-04-16T14:16:00,ACC1005,ACC1087
TXN-BULK-0085-1,TRANSFER,1956.18,2026-04-16T14:16:10,ACC1005,ACC1063
TXN-BULK-0085-2,TRANSFER,4103.45,2026-04-16T14:16:20,ACC1005,ACC1638
TXN-BULK-0086,WITHDRAWAL,647.16,2026-04-16T14:21:00,ACC2385,
TXN-BULK-0087-0,TRANSFER,4734.87,2026-04-16T14:22:00,ACC1005,ACC1419
TXN-BULK-0087-1,TRANSFER,3032.67,2026-04-16T14:22:10,ACC1005,ACC1463
TXN-BULK-0087-2,TRANSFER,2817.4,2026-04-16T14:22:20,ACC1005,ACC1524
TXN-BULK-0088,DEPOSIT,800.34,2026-04-16T14:24:00,,ACC1497
TXN-BULK-0089-0,TRANSFER,1620.76,2026-04-16T14:27:00,ACC1005,ACC1065
TXN-BULK-0089-1,TRANSFER,3555.72,2026-04-16T14:27:10,ACC1005,ACC1475
TXN-BULK-0089-2,TRANSFER,1191.88,2026-04-16T14:27:20,ACC1005,ACC2093
TXN-BULK-0090,WITHDRAWAL,12609.15,2026-04-16T14:29:00,ACC2281,
TXN-BULK-0091,DEPOSIT,8633.79,2026-04-17T02:52:00,,ACC2305
TXN-BULK-0092,DEPOSIT,10430.57,2026-04-16T14:38:00,,ACC2586
TXN-BULK-0093-0,TRANSFER,2048.85,2026-04-16T14:43:00,ACC1005,ACC2017
TXN-BULK-0093-1,TRANSFER,2225.5,2026-04-16T14:43:10,ACC1005,ACC1710
TXN-BULK-0093-2,TRANSFER,1579.23,2026-04-16T14:43:20,ACC1005,ACC2406
TXN-BULK-0094-0,TRANSFER,3518.82,2026-04-16T14:47:00,ACC1005,ACC1798
TXN-BULK-0094-1,TRANSFER,2799.76,2026-04-16T14:47:10,ACC1005,ACC1430
TXN-BULK-0094-2,TRANSFER,4055.73,2026-04-16T14:47:20,ACC1005,ACC1900
TXN-BULK-0095,TRANSFER,704785.88,2026-04-17T01:46:00,ACC2481,ACC1096
TXN-BULK-0096,DEPOSIT,7765.37,2026-04-17T02:15:00,,ACC1536
TXN-BULK-0097,TRANSFER,791150.22,2026-04-17T02:52:00,ACC1996,ACC1178
TXN-BULK-0098,DEPOSIT,12605.46,2026-04-16T15:00:00,,ACC1590
TXN-BULK-0099,DEPOSIT,9658.53,2026-04-16T15:05:00,,ACC1170
TXN-BULK-0100,TRANSFER,962369.17,2026-04-17T03:44:00,ACC2318,ACC1303
TXN-BULK-0101,WITHDRAWAL,5632.15,2026-04-17T02:32:00,ACC2112,
TXN-BULK-0102,WITHDRAWAL,6084.51,2026-04-16T15:11:00,ACC2400,
TXN-BULK-0103,DEPOSIT,21555.8,2026-04-16T15:13:00,,ACC1017
TXN-BULK-0104,TRANSFER,961161.65,2026-04-17T03:30:00,ACC1772,ACC1273
TXN-BULK-0105,DEPOSIT,10034.97,2026-04-16T15:18:00,,ACC1209
TXN-BULK-0106,TRANSFER,12934.89,2026-04-16T15:19:00,ACC1108,ACC2437
TXN-BULK-0107,WITHDRAWAL,125079.8,2026-04-17T02:52:00,ACC1655,
TXN-BULK-0108,TRANSFER,552092.8,2026-04-17T00:45:00,ACC1535,ACC1435
TXN-BULK-0109,WITHDRAWAL,6528.98,2026-04-16T15:24:00,ACC2606,
TXN-BULK-0110,DEPOSIT,12633.93,2026-04-16T15:25:00,,ACC1183
TXN-BULK-0111,WITHDRAWAL,6928.68,2026-04-16T15:29:00,ACC1430,
TXN-BULK-0112,WITHDRAWAL,9648.59,2026-04-16T15:34:00,ACC2273,
TXN-BULK-0113,TRANSFER,113903.07,2026-04-17T02:17:00,ACC1829,ACC2193
TXN-BULK-0114,TRANSFER,8946.83,2026-04-16T15:40:00,ACC1410,ACC1352
TXN-BULK-0115-0,TRANSFER,3916.36,2026-04-16T15:45:00,ACC1005,ACC1963
TXN-BULK-0115-1,TRANSFER,3204.47,2026-04-16T15:45:10,ACC1005,ACC2556
TXN-BULK-0115-2,TRANSFER,4007.65,2026-04-16T15:45:20,ACC1005,ACC1247
TXN-BULK-0116,DEPOSIT,1839.98,2026-04-16T15:50:00,,ACC1552
TXN-BULK-0117,WITHDRAWAL,4673.81,2026-04-16T15:53:00,ACC1997,
TXN-BULK-0118,TRANSFER,6864.46,2026-04-16T15:58:00,ACC1979,ACC1744
TXN-BULK-0119-0,TRANSFER,2093.06,2026-04-16T16:03:00,ACC1005,ACC2564
TXN-BULK-0119-1,TRANSFER,3781.87,2026-04-16T16:03:10,ACC1005,ACC2001
TXN-BULK-0119-2,TRANSFER,1146.98,2026-04-16T16:03:20,ACC1005,ACC1483
TXN-BULK-0120,WITHDRAWAL,14290.36,2026-04-16T16:08:00,ACC1384,
TXN-BULK-0121,DEPOSIT,7848.03,2026-04-16T16:10:00,,ACC1108
TXN-BULK-0122-0,TRANSFER,3419.61,2026-04-16T16:14:00,ACC1005,ACC1443
TXN-BULK-0122-1,TRANSFER,4900.6,2026-04-16T16:14:10,ACC1005,ACC1172
TXN-BULK-0122-2,TRANSFER,2926.03,2026-04-16T16:14:20,ACC1005,ACC1394
TXN-BULK-0123,WITHDRAWAL,4165.13,2026-04-16T16:17:00,ACC1271,
TXN-BULK-0124,DEPOSIT,555809.46,2026-04-17T03:46:00,,ACC2251
TXN-BULK-0125,TRANSFER,9414.6,2026-04-16T16:20:00,ACC1194,ACC1719
TXN-BULK-0126,DEPOSIT,14781.37,2026-04-16T16:25:00,,ACC2416
TXN-BULK-0127,TRANSFER,1528.22,2026-04-16T16:26:00,ACC1079,ACC2150
TXN-BULK-0128,WITHDRAWAL,8772.87,2026-04-16T16:30:00,ACC1490,
TXN-BULK-0129,TRANSFER,5657.44,2026-04-16T16:32:00,ACC2581,ACC1994
TXN-BULK-0130,DEPOSIT,6583.89,2026-04-16T16:35:00,,ACC1553
TXN-BULK-0131,DEPOSIT,44362.58,2026-04-16T16:36:00,,ACC1017
TXN-BULK-0132,WITHDRAWAL,3305.39,2026-04-16T16:39:00,ACC2051,
TXN-BULK-0133,TRANSFER,110565.7,2026-04-17T03:42:00,ACC1645,ACC1254
TXN-BULK-0134,WITHDRAWAL,14157.31,2026-04-16T16:49:00,ACC1661,
TXN-BULK-0135,TRANSFER,1312.32,2026-04-16T16:53:00,ACC2350,ACC2327
TXN-BULK-0136,WITHDRAWAL,13665.61,2026-04-16T16:54:00,ACC2101,
TXN-BULK-0137,DEPOSIT,3030.84,2026-04-16T16:57:00,,ACC1471
TXN-BULK-0138-0,TRANSFER,4802.72,2026-04-16T17:01:00,ACC1005,ACC1599
TXN-BULK-0138-1,TRANSFER,2637.73,2026-04-16T17:01:10,ACC1005,ACC2631
TXN-BULK-0138-2,TRANSFER,3920.24,2026-04-16T17:01:20,ACC1005,ACC1563
TXN-BULK-0139-0,TRANSFER,1067.02,2026-04-16T17:03:00,ACC1005,ACC1574
TXN-BULK-0139-1,TRANSFER,1388.49,2026-04-16T17:03:10,ACC1005,ACC2280
TXN-BULK-0139-2,TRANSFER,2673.8,2026-04-16T17:03:20,ACC1005,ACC1509
TXN-BULK-0140,WITHDRAWAL,12892.83,2026-04-16T17:07:00,ACC1205,
TXN-BULK-0141,WITHDRAWAL,3848.05,2026-04-16T17:09:00,ACC1040,
TXN-BULK-0142,TRANSFER,14233.12,2026-04-16T17:12:00,ACC1403,ACC1126
TXN-BULK-0143,TRANSFER,435.76,2026-04-16T17:15:00,ACC1604,ACC1064
TXN-BULK-0144,TRANSFER,108342.79,2026-04-17T04:31:00,ACC2211,ACC1152
TXN-BULK-0145,DEPOSIT,10736.43,2026-04-16T17:21:00,,ACC2421
TXN-BULK-0146,WITHDRAWAL,1054.72,2026-04-16T17:23:00,ACC1807,
TXN-BULK-0147,WITHDRAWAL,6206.44,2026-04-16T17:25:00,ACC2199,
TXN-BULK-0148,TRANSFER,1171.84,2026-04-16T17:26:00,ACC2288,ACC1926
TXN-BULK-0149,WITHDRAWAL,143646.25,2026-04-17T02:51:00,ACC1320,
TXN-BULK-0150,WITHDRAWAL,3047.2,2026-04-16T17:36:00,ACC1520,
TXN-BULK-0151,TRANSFER,4941.14,2026-04-16T17:38:00,ACC1667,ACC1038
TXN-BULK-0152,WITHDRAWAL,9687.36,2026-04-16T17:39:00,ACC1306,
TXN-BULK-0153,TRANSFER,1818.41,2026-04-16T17:41:00,ACC1149,ACC2562
TXN-BULK-0154,WITHDRAWAL,4859.54,2026-04-16T17:42:00,ACC1253,
TXN-BULK-0155,TRANSFER,13475.61,2026-04-17T02:57:00,ACC2371,ACC1280
TXN-BULK-0156,WITHDRAWAL,5291.45,2026-04-16T17:49:00,ACC1844,
TXN-BULK-0157,TRANSFER,753722.98,2026-04-17T03:49:00,ACC2365,ACC1192
TXN-BULK-0158,DEPOSIT,40742.94,2026-04-16T17:58:00,,ACC1017
TXN-BULK-0159,TRANSFER,2495.71,2026-04-16T17:59:00,ACC2475,ACC1144
TXN-BULK-0160,TRANSFER,12033.55,2026-04-16T18:00:00,ACC1307,ACC2285
TXN-BULK-0161,TRANSFER,9141.37,2026-04-16T18:04:00,ACC1564,ACC2318
TXN-BULK-0162,DEPOSIT,14528.62,2026-04-16T18:09:00,,ACC1812
TXN-BULK-0163,TRANSFER,859985.02,2026-04-17T00:26:00,ACC2392,ACC2013
TXN-BULK-0164,DEPOSIT,41894.47,2026-04-16T18:13:00,,ACC1017
TXN-BULK-0165,DEPOSIT,27233.61,2026-04-16T18:14:00,,ACC1017
TXN-BULK-0166,TRANSFER,822793.37,2026-04-17T03:50:00,ACC1402,ACC2271
TXN-BULK-0167,TRANSFER,14146.78,2026-04-16T18:20:00,ACC1749,ACC1764
TXN-BULK-0168,TRANSFER,11686.16,2026-04-16T18:22:00,ACC1906,ACC1265
TXN-BULK-0169,TRANSFER,6477.31,2026-04-16T18:25:00,ACC2286,ACC1675
TXN-BULK-0170,WITHDRAWAL,1040.24,2026-04-16T18:28:00,ACC1780,
TXN-BULK-0171,TRANSFER,901.71,2026-04-17T02:38:00,ACC1962,ACC1092
TXN-BULK-0172,TRANSFER,11885.57,2026-04-16T18:31:00,ACC1390,ACC2287
TXN-BULK-0173,WITHDRAWAL,2574.9,2026-04-16T18:36:00,ACC1568,
TXN-BULK-0174,TRANSFER,534590.0,2026-04-17T00:40:00,ACC2582,ACC1686
TXN-BULK-0175,DEPOSIT,8133.29,2026-04-16T18:44:00,,ACC2410
TXN-BULK-0176,WITHDRAWAL,1664.61,2026-04-16T18:49:00,ACC1580,
TXN-BULK-0177-0,TRANSFER,3503.34,2026-04-16T18:53:00,ACC1005,ACC1263
TXN-BULK-0177-1,TRANSFER,3482.52,2026-04-16T18:53:10,ACC1005,ACC1961
TXN-BULK-0177-2,TRANSFER,3060.18,2026-04-16T18:53:20,ACC1005,ACC1038
TXN-BULK-0178,TRANSFER,142232.15,2026-04-17T02:58:00,ACC2510,ACC1530
TXN-BULK-0179,DEPOSIT,14520.7,2026-04-16T18:58:00,,ACC2333
TXN-BULK-0180,TRANSFER,3110.05,2026-04-16T19:01:00,ACC2496,ACC2145
TXN-BULK-0181-0,TRANSFER,2851.25,2026-04-16T19:06:00,ACC1005,ACC1887
TXN-BULK-0181-1,TRANSFER,2626.02,2026-04-16T19:06:10,ACC1005,ACC2382
TXN-BULK-0181-2,TRANSFER,1465.77,2026-04-16T19:06:20,ACC1005,ACC1511
TXN-BULK-0182,TRANSFER,5808.45,2026-04-16T19:10:00,ACC2451,ACC2408
TXN-BULK-0183,TRANSFER,11637.54,2026-04-16T19:14:00,ACC1307,ACC1158
TXN-BULK-0184,TRANSFER,9381.37,2026-04-17T02:38:00,ACC2117,ACC2174
TXN-BULK-0185,WITHDRAWAL,105866.35,2026-04-17T04:56:00,ACC2136,
TXN-BULK-0186,TRANSFER,10513.13,2026-04-16T19:23:00,ACC1412,ACC2076
TXN-BULK-0187,WITHDRAWAL,9431.7,2026-04-16T19:26:00,ACC1645,
TXN-BULK-0188-0,TRANSFER,1274.45,2026-04-16T19:28:00,ACC1005,ACC1033
TXN-BULK-0188-1,TRANSFER,4444.45,2026-04-16T19:28:10,ACC1005,ACC1807
TXN-BULK-0188-2,TRANSFER,1929.28,2026-04-16T19:28:20,ACC1005,ACC1118
TXN-BULK-0189,DEPOSIT,6777.67,2026-04-16T19:30:00,,ACC2615
TXN-BULK-0190,DEPOSIT,4847.6,2026-04-16T19:35:00,,ACC1705
TXN-BULK-0191,TRANSFER,5485.84,2026-04-16T19:40:00,ACC2057,ACC2226
TXN-BULK-0192,TRANSFER,927287.0,2026-04-17T00:01:00,ACC1731,ACC2565
TXN-BULK-0193,TRANSFER,11552.73,2026-04-16T19:46:00,ACC1741,ACC2606
TXN-BULK-0194,WITHDRAWAL,145243.65,2026-04-17T03:56:00,ACC2044,
TXN-BULK-0195-0,TRANSFER,4061.59,2026-04-16T19:51:00,ACC1005,ACC2481
TXN-BULK-0195-1,TRANSFER,3979.36,2026-04-16T19:51:10,ACC1005,ACC2191
TXN-BULK-0195-2,TRANSFER,3670.9,2026-04-16T19:51:20,ACC1005,ACC2371
TXN-BULK-0196-0,TRANSFER,4203.83,2026-04-16T19:54:00,ACC1005,ACC2064
TXN-BULK-0196-1,TRANSFER,3152.15,2026-04-16T19:54:10,ACC1005,ACC1466
TXN-BULK-0196-2,TRANSFER,3403.23,2026-04-16T19:54:20,ACC1005,ACC1863
TXN-BULK-0197,DEPOSIT,40823.03,2026-04-16T19:57:00,,ACC1017
TXN-BULK-0198,DEPOSIT,8705.0,2026-04-17T02:47:00,,ACC1872
TXN-BULK-0199,DEPOSIT,731525.69,2026-04-17T02:01:00,,ACC2066
TXN-BULK-0200,DEPOSIT,8523.32,2026-04-17T02:57:00,,ACC1001
TXN-BULK-0201,TRANSFER,4894.75,2026-04-16T20:07:00,ACC2516,ACC1259
TXN-BULK-0202,DEPOSIT,37773.49,2026-04-16T20:08:00,,ACC1017
TXN-BULK-0203,DEPOSIT,12277.74,2026-04-16T20:09:00,,ACC2630
TXN-BULK-0204,WITHDRAWAL,12329.76,2026-04-16T20:12:00,ACC1415,
TXN-BULK-0205,DEPOSIT,8581.37,2026-04-16T20:17:00,,ACC1791
TXN-BULK-0206,DEPOSIT,13498.36,2026-04-16T20:22:00,,ACC1231
TXN-BULK-0207,TRANSFER,527753.22,2026-04-17T00:37:00,ACC1365,ACC2530
TXN-BULK-0208,TRANSFER,2358.1,2026-04-17T02:59:00,ACC2337,ACC1509
TXN-BULK-0209-0,TRANSFER,3213.87,2026-04-16T20:31:00,ACC1005,ACC1884
TXN-BULK-0209-1,TRANSFER,3382.26,2026-04-16T20:31:10,ACC1005,ACC1325
TXN-BULK-0209-2,TRANSFER,2019.14,2026-04-16T20:31:20,ACC1005,ACC2347
TXN-BULK-0210,DEPOSIT,4339.32,2026-04-16T20:35:00,,ACC1052
TXN-BULK-0211,WITHDRAWAL,64066.66,2026-04-17T02:44:00,ACC1492,
TXN-BULK-0212,DEPOSIT,13977.16,2026-04-16T20:42:00,,ACC2371
TXN-BULK-0213,DEPOSIT,11916.64,2026-04-16T20:44:00,,ACC1936
TXN-BULK-0214,WITHDRAWAL,11906.16,2026-04-16T20:45:00,ACC2467,
TXN-BULK-0215,TRANSFER,890087.19,2026-04-17T02:14:00,ACC1293,ACC2293
TXN-BULK-0216-0,TRANSFER,3869.82,2026-04-16T20:50:00,ACC1005,ACC1132
TXN-BULK-0216-1,TRANSFER,3375.54,2026-04-16T20:50:10,ACC1005,ACC2010
TXN-BULK-0216-2,TRANSFER,1573.58,2026-04-16T20:50:20,ACC1005,ACC1849
TXN-BULK-0217,TRANSFER,115578.12,2026-04-17T02:30:00,ACC1016,ACC1945
TXN-BULK-0218,DEPOSIT,3897.2,2026-04-16T20:56:00,,ACC2277
TXN-BULK-0219,TRANSFER,985752.3,2026-04-17T02:12:00,ACC2559,ACC1689
TXN-BULK-0220,TRANSFER,114690.9,2026-04-17T01:40:00,ACC2481,ACC2064
TXN-BULK-0221,TRANSFER,77907.87,2026-04-17T02:06:00,ACC2336,ACC1873
TXN-BULK-0222,DEPOSIT,14092.48,2026-04-17T02:55:00,,ACC1246
TXN-BULK-0223,DEPOSIT,14981.04,2026-04-16T21:18:00,,ACC2172
TXN-BULK-0224,WITHDRAWAL,9667.98,2026-04-16T21:20:00,ACC1782,
TXN-BULK-0225,TRANSFER,925546.35,2026-04-17T00:39:00,ACC1167,ACC2453
TXN-BULK-0226,TRANSFER,8335.41,2026-04-16T21:25:00,ACC1416,ACC2394
TXN-BULK-0227,WITHDRAWAL,2712.24,2026-04-16T21:28:00,ACC1306,
TXN-BULK-0228,WITHDRAWAL,8149.54,2026-04-16T21:33:00,ACC1083,
TXN-BULK-0229,TRANSFER,993690.67,2026-04-17T02:52:00,ACC2276,ACC1724
TXN-BULK-0230,DEPOSIT,3455.78,2026-04-17T02:34:00,,ACC1033
TXN-BULK-0231,DEPOSIT,12184.82,2026-04-16T21:44:00,,ACC1962
TXN-BULK-0232,TRANSFER,9183.33,2026-04-16T21:49:00,ACC1310,ACC2246
TXN-BULK-0233,WITHDRAWAL,136502.05,2026-04-17T01:23:00,ACC1009,
TXN-BULK-0234,DEPOSIT,737179.84,2026-04-17T00:54:00,,ACC2462
TXN-BULK-0235,WITHDRAWAL,4073.48,2026-04-16T21:59:00,ACC2100,
TXN-BULK-0236,DEPOSIT,9737.6,2026-04-17T02:36:00,,ACC1118
TXN-BULK-0237,WITHDRAWAL,62249.39,2026-04-17T02:39:00,ACC1141,
TXN-BULK-0238,TRANSFER,14268.0,2026-04-17T02:04:00,ACC1195,ACC1604
TXN-BULK-0239-0,TRANSFER,3880.42,2026-04-16T22:11:00,ACC1005,ACC1384
TXN-BULK-0239-1,TRANSFER,3458.95,2026-04-16T22:11:10,ACC1005,ACC1835
TXN-BULK-0239-2,TRANSFER,1105.54,2026-04-16T22:11:20,ACC1005,ACC1284
TXN-BULK-0240,DEPOSIT,9578.8,2026-04-16T22:14:00,,ACC1689
TXN-BULK-0241,DEPOSIT,5193.28,2026-04-16T22:19:00,,ACC1876
TXN-BULK-0242,TRANSFER,81034.29,2026-04-17T01:32:00,ACC1256,ACC2530
TXN-BULK-0243,WITHDRAWAL,141200.52,2026-04-17T04:41:00,ACC1082,
